Generic Name,Drug Class,Indications,Dosage Form,Strength,Route of Administration,Side Effects,Contraindications,Interaction warnings & Precautions,Storage Conditions,Pregnancy Category,Reference,Availability
Atenolol,Beta-Blocker,Hypertension,Tablet,25 mg,Oral,angina,tachycardia,Calcium channel blockers like verapamil may cause bradycardia and heart failure Abrupt withdrawal may exacerbate angina pectoris or cause myocardial infarction.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (Beta-blocker risk of fetal bradycardia),Prescription
Atovaquone,Antiprotozoal,Pneumocystis jirovecii pneumonia (PCP) prophylaxis and treatment,Suspension,750 mg,Oral,Rash,nausea,Metoclopramide and rifampin reduce plasma concentrations Should not be used for serious Pneumocystis pneumonia (PCP) in patients who cannot take it with food.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Atovaquone-Proguanil,Antimalarial,Malaria prevention and treatment,Tablet,250/100 mg,Oral,Headache,abdominal pain,Metoclopramide and rifampin reduce atovaquone concentrations Not for severe malaria or prophylaxis in patients with severe renal impairment.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Azathioprine,Immunosuppressant,Rheumatoid arthritis,Tablet,50 mg,Oral,immunosuppression in transplants,Myelosuppression,Allopurinol inhibits xanthine oxidase increasing levels of active metabolites leading to severe myelosuppression Myelosuppression is dose-related and requires frequent CBC monitoring.,Refrigerate,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Azelaic Acid,Topical Antiacne,Rosacea,Gel,15%,Topical,acne vulgaris,Skin burning,No significant drug interactions Avoid contact with eyes and mucous membranes May cause hypopigmentation in patients with dark complexions.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Azithromycin,Macrolide Antibiotic,Bacterial infections,Tablet,250 mg,Oral,Diarrhea,nausea,Nelfinavir increases azithromycin levels May potentiate the effects of warfarin and digoxin May cause QT prolongation and subsequent arrhythmias.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Bacitracin,Polypeptide Antibiotic,Topical skin infections,Ointment,500 unit/g,Topical,Hypersensitivity reactions,Hypersensitivity,No significant systemic drug interactions due to minimal absorption For topical use only not for eyes or deep wounds.,Room Temperature,Animal studies have demonstrated safety,"Lexicomp, Micromedex",No prescription required
Bacitracin-Polymyxin,Antibiotic Combination,Topical skin infections,Ointment,5000-10000 unit/g,Topical,Hypersensitivity reactions,Hypersensitivity to components,No significant systemic drug interactions due to minimal absorption For topical use only not for eyes or deep wounds.,Room Temperature,Animal studies have demonstrated safety,"Lexicomp, Micromedex",No prescription required
Baclofen,Skeletal Muscle Relaxant,Muscle spasticity,Tablet,10 mg,Oral,Sedation,dizziness,CNS depressants like alcohol and opioids can increase sedation Abrupt discontinuation can cause hallucinations and seizures.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Beclomethasone,Inhaled Corticosteroid,Asthma,Inhaler,40 mcg/actuation,Inhalation,COPD,Oral candidiasis,No significant drug interactions Rinse mouth after inhalation to prevent oral candidiasis Adrenal insufficiency may occur when transferring from systemic steroids.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Benazepril,ACE Inhibitor,Hypertension,Tablet,10 mg,Oral,heart failure,Cough,NSAIDs may diminish the antihypertensive effect Lithium levels may be increased Risk of angioedema can occur at any time discontinue immediately.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information (ACE Inhibitor risk),Prescription
Bendamustine,Alkylating Agent,Chronic lymphocytic leukemia (CLL),Solution,25 mg/mL,Intravenous,Myelosuppression,nausea,Inhibitors of CYP1A2 may increase bendamustine exposure Myelosuppression is common monitor blood counts regularly Infusion reactions and skin reactions may occur.,Refrigerate Protect from light,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Benzonatate,Antitussive,Cough suppression,Capsule,100 mg,Oral,Dizziness,drowsiness,No significant drug interactions Do not chew or swallow capsules whole as it can cause local anesthesia of the oral mucosa and choking.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Benztropine,Anticholinergic,Parkinson's disease,Tablet,0.5 mg,Oral,drug-induced extrapyramidal symptoms,Dry mouth,Other anticholinergic drugs can have additive effects Use with caution in hot weather may cause heatstroke May impair mental and physical abilities required for driving.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Betamethasone,Corticosteroid,Inflammatory conditions,Cream,0.10%,Topical,Hyperglycemia,fluid retention,Live vaccines should not be given concurrently Phenytoin phenobarbital and rifampin reduce corticosteroid effects Systemic effects can occur with extensive topical use.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Bethanechol,Cholinergic,Urinary retention,Tablet,10 mg,Oral,Abdominal cramps,salivation,Other cholinergic agents can have additive effects Bethanechol is contraindicated in conditions where increased muscular activity of the GI tract or bladder might be harmful.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Bisoprolol,Beta-Blocker,Hypertension,Tablet,5 mg,Oral,heart failure,Bradycardia,Calcium channel blockers like verapamil may cause bradycardia and heart failure Abrupt withdrawal may exacerbate angina pectoris or cause myocardial infarction.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (Beta-blocker risk),Prescription
Bisoprolol-Hydrochlorothiazide,Beta-Blocker + Thiazide Diuretic,Hypertension,Tablet,5/6.25 mg,Oral,Bradycardia,dizziness,NSAIDs may diminish the antihypertensive effect Lithium levels may be increased May exacerbate glucose intolerance and hyperlipidemia.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (ACE Inhibitor/Thiazide risk),Prescription
Bortezomib,Proteasome Inhibitor,Multiple myeloma,Powder for Injection,3.5 mg,Subcutaneous,Peripheral neuropathy,nausea,Strong CYP3A4 inducers may decrease efficacy Peripheral neuropathy is a common and sometimes severe toxicity requiring dose adjustment.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Bosentan,Endothelin Receptor Antagonist,Pulmonary arterial hypertension (PAH),Tablet,62.5 mg,Oral,Headache,nasopharyngitis,Strong CYP3A4 inducers like rifampin decrease levels and inhibitors like ketoconazole increase levels Requires monthly monitoring of liver enzymes due to risk of hepatotoxicity.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Brexpiprazole,Atypical Antipsychotic,Schizophrenia,Tablet,1 mg,Oral,adjunct for depression,Weight gain,Strong CYP3A4 or CYP2D6 inhibitors require dose adjustment May cause suicidal thoughts and metabolic changes including weight gain and dyslipidemia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Brimonidine,Alpha-2 Adrenergic Agonist,Glaucoma,Solution,0.10%,Ophthalmic,ocular hypertension,Ocular allergy,CNS depressants may potentiate effects MAOIs may potentiate vasoconstrictive effect May cause fatigue and drowsiness in some patients.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Brinzolamide,Carbonic Anhydrase Inhibitor,Glaucoma,Suspension,1%,Ophthalmic,ocular hypertension,Blurred vision,Oral carbonic anhydrase inhibitors may have additive effects Salicylates may cause acid-base disturbances Sulfonamide hypersensitivity reactions may occur.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Bromocriptine,Dopamine Agonist,Parkinson's disease,Tablet,2.5 mg,Oral,hyperprolactinemia,Nausea,Other drugs that lower blood pressure may have additive effects Ergot-related drugs may cause fibrosis of cardiac valves with long-term use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Budesonide,Inhaled Corticosteroid,Asthma,Suspension for Nebulization,3 mg/2 mL,Inhalation,COPD,Oral candidiasis,Strong CYP3A4 inhibitors like ketoconazole may increase systemic exposure Rinse mouth after inhalation to prevent oral candidiasis.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Bumetanide,Loop Diuretic,Edema (heart failure,Tablet,1 mg,Oral,hepatic,renal),Other ototoxic drugs may increase risk of hearing loss Indomethacin may reduce the diuretic effect Profound diuresis and electrolyte depletion can occur.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Buprenorphine,Opioid Partial Agonist,Pain management,Tablet,8 mg,Sublingual,opioid use disorder,Constipation,Benzodiazepines and other CNS depressants increase risk of respiratory depression Can precipitate withdrawal in patients dependent on other opioids.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Bupropion,Atypical Antidepressant,Depression,Tablet (SR),150 mg,Oral,smoking cessation,Insomnia,MAOIs can increase risk of hypertensive episodes Lowers seizure threshold in a dose-dependent manner.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Buspirone,Anxiolytic,Generalized anxiety disorder,Tablet,10 mg,Oral,Dizziness,nausea,MAOIs may increase blood pressure Use cautiously with other CNS depressants Not effective for benzodiazepine withdrawal.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Butalbital-Acetaminophen-Caffeine,Barbiturate + Analgesic,Tension headache,Tablet,50/325/40 mg,Oral,Sedation,dizziness,CNS depressants including alcohol can cause additive sedation Barbiturate component induces CYP450 enzymes reducing efficacy of many drugs.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Barbiturate risk),Prescription
Butoconazole,Antifungal,Vaginal yeast infections,Cream,2%,Vaginal,Vaginal burning,itching,No significant drug interactions For vaginal use only not for ophthalmic or oral use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
Cabergoline,Dopamine Agonist,Hyperprolactinemia,Tablet,0.5 mg,Oral,Nausea,headache,Other drugs that lower blood pressure may have additive effects Ergot-related drugs may cause fibrosis of cardiac valves with long-term use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Calcipotriene,Vitamin D Analog,Plaque psoriasis,Ointment,0.01%,Topical,Skin irritation,hypercalcemia,No significant drug interactions Topical use only excessive use can lead to hypercalcemia.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Calcitonin,Calcium Regulator,Hypercalcemia,Spray,200 IU/actuation,Nasal,osteoporosis,Nausea,No significant drug interactions Potential for serious allergic reactions including anaphylaxis.,Refrigerate,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Calcitriol,Vitamin D Analog,Hypocalcemia,Capsule,0.25 mcg,Oral,Hypercalcemia,headache,Cholestyramine may impair absorption Magnesium-containing antacids may cause hypermagnesemia Can cause hypercalcemia monitor serum calcium levels.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information (Hypercalcemia risk),Prescription
Calcium Carbonate,Antacid / Calcium Supplement,Antacid,Tablet,500 mg,Oral,calcium supplementation,Constipation,Can decrease absorption of tetracyclines and fluoroquinolones administer separately Excessive use can cause hypercalcemia and milk-alkali syndrome.,Room Temperature,Animal studies have demonstrated safety,Generally considered safe in pregnancy,No prescription required
Canagliflozin,SGLT2 Inhibitor,Type 2 diabetes,Tablet,100 mg,Oral,Genital mycotic infections,UTI,Rifampin decreases canagliflozin levels May increase risk of hypotension with diuretics Can cause genital mycotic infections and volume depletion.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (Not recommended in 2nd/3rd trim),Prescription
Candesartan,ARB,Hypertension,Tablet,8 mg,Oral,heart failure,Hyperkalemia,NSAIDs may diminish the antihypertensive effect Lithium levels may be increased Use in pregnancy can cause injury and death to the developing fetus.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information (ARB risk),Prescription
Capecitabine,Antimetabolite,Breast cancer,Tablet,500 mg,Oral,colorectal cancer,Diarrhea,Warfarin interaction can lead to serious bleeding and death Patients with DPD deficiency are at risk for severe toxicity.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Captopril,ACE Inhibitor,Hypertension,Tablet,25 mg,Oral,heart failure,Cough,NSAIDs may diminish the antihypertensive effect Lithium levels may be increased Risk of neutropenia and agranulocytosis particularly in renal impairment.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information (ACE Inhibitor risk),Prescription
Carbamazepine,Anticonvulsant,Seizures,Tablet,200 mg,Oral,trigeminal neuralgia,Dizziness,Induces CYP450 enzymes reducing levels of many drugs (eg oral contraceptives warfarin) HLA-B*1502 allele increases risk of serious skin reactions in certain populations.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Neural tube defect risk),Prescription
Carbidopa,Decarboxylase Inhibitor,Parkinson's disease,Tablet,25 mg,Oral,Nausea,dizziness,Nonselective MAOIs are contraindicated When given without levodopa it has no therapeutic effect.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Carboplatin,Alkylating Agent,Ovarian cancer,Solution,10 mg/mL,Intravenous,other cancers,Myelosuppression,Nephrotoxic drugs may enhance platinum-induced renal toxicity Myelosuppression is dose-related and is the dose-limiting toxicity.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Carisoprodol,Skeletal Muscle Relaxant,Muscle pain,Tablet,350 mg,Oral,spasms,Drowsiness,CNS depressants including alcohol can cause additive sedation Metabolism produces meprobamate a controlled substance with abuse potential.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Carvedilol,Alpha/Beta-Blocker,Hypertension,Tablet,12.5 mg,Oral,heart failure,Bradycardia,Other drugs that lower heart rate or blood pressure can have additive effects Abrupt withdrawal may exacerbate angina pectoris or cause myocardial infarction.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (Beta-blocker risk),Prescription
Caspofungin,Echinocandin Antifungal,Invasive fungal infections,Powder for Injection,70 mg,Intravenous,Fever,phlebitis,Cyclosporine increases caspofungin exposure and may cause elevated liver enzymes Not for use in hepatic impairment.,Refrigerate,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Cefaclor,Cephalosporin Antibiotic,Bacterial infections,Capsule,500 mg,Oral,Diarrhea,nausea,Probenecid may decrease cephalosporin excretion Nephrotoxicity may occur with concurrent use of potent diuretics.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Cefadroxil,Cephalosporin Antibiotic,Bacterial infections,Capsule,500 mg,Oral,Diarrhea,nausea,Probenecid may decrease cephalosporin excretion Nephrotoxicity may occur with concurrent use of potent diuretics.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Cefazolin,Cephalosporin Antibiotic,Bacterial infections,Powder for Injection,1 g,Intravenous,Diarrhea,rash,Probenecid may decrease cephalosporin excretion Nephrotoxicity may occur with concurrent use of potent diuretics.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Cefdinir,Cephalosporin Antibiotic,Bacterial infections,Capsule,300 mg,Oral,Diarrhea,nausea,Antacids and iron supplements decrease absorption May cause red stools due to interaction with iron.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Cefditoren,Cephalosporin Antibiotic,Bacterial infections,Tablet,400 mg,Oral,Diarrhea,nausea,Probenecid may decrease excretion Contraindicated in patients with carnitine deficiency or milk protein allergy.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Cefepime,Cephalosporin Antibiotic,Bacterial infections,Powder for Injection,1 g,Intravenous,Diarrhea,rash,Nephrotoxic drugs may increase the risk of kidney damage May cause neurotoxicity including encephalopathy and nonconvulsive status epilepticus especially in renal impairment.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Cefixime,Cephalosporin Antibiotic,Bacterial infections,Tablet,400 mg,Oral,Diarrhea,nausea,Probenecid may decrease cephalosporin excretion May cause diarrhea including Clostridium difficile-associated diarrhea.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Cefotaxime,Cephalosporin Antibiotic,Bacterial infections,Powder for Injection,1 g,Intravenous,Diarrhea,rash,Probenecid may decrease cephalosporin excretion May cause diarrhea including Clostridium difficile-associated diarrhea.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Cefoxitin,Cephalosporin Antibiotic,Bacterial infections,Powder for Injection,2 g,Intravenous,Diarrhea,nausea,Probenecid may decrease cephalosporin excretion May cause diarrhea including Clostridium difficile-associated diarrhea.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Cefpodoxime,Cephalosporin Antibiotic,Bacterial infections,Tablet,200 mg,Oral,Diarrhea,nausea,Antacids and H2 blockers decrease absorption May cause diarrhea including Clostridium difficile-associated diarrhea.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Cefprozil,Cephalosporin Antibiotic,Bacterial infections,Tablet,500 mg,Oral,Diarrhea,nausea,Probenecid may decrease cephalosporin excretion May cause diarrhea including Clostridium difficile-associated diarrhea.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Ceftaroline,Cephalosporin Antibiotic,Bacterial infections,Powder for Injection,600 mg,Intravenous,Diarrhea,nausea,Drugs that prolong the QT interval may have additive effects May cause diarrhea including Clostridium difficile-associated diarrhea.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Ceftazidime,Cephalosporin Antibiotic,Bacterial infections,Powder for Injection,2 g,Intravenous,Diarrhea,nausea,Probenecid may decrease cephalosporin excretion May cause diarrhea including Clostridium difficile-associated diarrhea.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Ceftibuten,Cephalosporin Antibiotic,Bacterial infections,Capsule,400 mg,Oral,Diarrhea,nausea,Probenecid may decrease cephalosporin excretion May cause diarrhea including Clostridium difficile-associated diarrhea.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Cefuroxime,Cephalosporin Antibiotic,Bacterial infections,Tablet,500 mg,Oral,Diarrhea,nausea,Probenecid may decrease cephalosporin excretion May cause diarrhea including Clostridium difficile-associated diarrhea.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Celecoxib,COX-2 Inhibitor,Osteoarthritis,Capsule,200 mg,Oral,rheumatoid arthritis,pain,ACE inhibitors and ARBs may have diminished antihypertensive effect Increases risk of serious cardiovascular thrombotic events including MI and stroke.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (NSAID risk),Prescription
Cephalexin,Cephalosporin Antibiotic,Bacterial infections,Capsule,500 mg,Oral,Diarrhea,nausea,Probenecid may decrease cephalosporin excretion May cause diarrhea including Clostridium difficile-associated diarrhea.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Cetirizine,Antihistamine,Allergic rhinitis,Tablet,10 mg,Oral,urticaria,Somnolence,No significant drug interactions at recommended doses May cause somnolence although less than first-generation antihistamines.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required
