unii,name,classes,usage,side_effects,contraindications
A49P881514,Alogliptin,"DPP-4 inhibitor",To improve glycemic control in adults with type 2 diabetes mellitus,"Nasopharyngitis, headache, upper respiratory tract infection","Pancreatitis, hypersensitivity reactions"
9333423455,Alpelisib,"Kinase inhibitor",Treatment of HR-positive, HER2-negative, PIK3CA-mutated, advanced or metastatic breast cancer,"Hyperglycemia, rash, diarrhea",Monitor blood glucose levels.
942345M14Y,Alprazolam,"Benzodiazepine",Management of anxiety disorders and panic disorder,"Drowsiness, dizziness, dependence",Avoid abrupt discontinuation.
1R1242354M,Amantadine,"Antiviral and antiparkinsonian agent",Treatment of Parkinson's disease and drug-induced extrapyramidal reactions,"Dizziness, insomnia, nausea",Use with caution in elderly patients.
421M14555A,Ambrisentan,"Endothelin receptor antagonist",Treatment of pulmonary arterial hypertension,"Peripheral edema, headache, nasal congestion","Pregnancy, idiopathic pulmonary fibrosis"
453673456C,Amikacin,"Aminoglycoside antibiotic",Treatment of serious bacterial infections,"Nephrotoxicity, ototoxicity",Monitor renal function and hearing.
21M991422A,Amiloride,"Potassium-sparing diuretic",Treatment of hypertension and edema,"Hyperkalemia, headache, nausea",Monitor serum potassium levels.
17556B491M,Aminocaproic acid,"Antifibrinolytic agent",Treatment of excessive bleeding,"Dizziness, nausea, thrombosis",Use with caution in patients with a history of thrombosis.
21M245155A,Aminolevulinic acid,"Photosensitizing agent",Used in photodynamic therapy for the treatment of actinic keratosis,"Burning, stinging, redness at application site",Avoid exposure to sunlight or bright indoor light for 40 hours after application.
451M21151A,Amiodarone,"Antiarrhythmic",Treatment of ventricular arrhythmias,"Pulmonary toxicity, hepatotoxicity, thyroid abnormalities",Monitor pulmonary, liver, and thyroid function.
5421M1515A,Amitriptyline,"Tricyclic antidepressant",Treatment of depression,"Drowsiness, dry mouth, constipation",Increased risk of suicidal thoughts in young adults.
51A235121M,Amlodipine,"Calcium channel blocker",Treatment of hypertension and angina,"Edema, headache, fatigue",Use with caution in patients with heart failure.
251M12515A,Amoxicillin,"Penicillin antibiotic",Treatment of bacterial infections,"Nausea, vomiting, diarrhea",Allergy to penicillin.
1M2512515A,Amoxicillin/Clavulanate,"Penicillin antibiotic and beta-lactamase inhibitor",Treatment of bacterial infections,"Diarrhea, nausea, rash",Use with caution in patients with liver disease.
512M12515A,Amphotericin B,"Antifungal",Treatment of serious fungal infections,"Nephrotoxicity, infusion reactions, hypokalemia",Monitor renal function and electrolytes.
1251M12515A,Ampicillin,"Penicillin antibiotic",Treatment of bacterial infections,"Rash, diarrhea",Allergy to penicillin.
M12512515A,Anagrelide,"Platelet-reducing agent",Treatment of thrombocythemia,"Headache, palpitations, diarrhea",Monitor platelet counts and cardiovascular status.
12512515AM,Anakinra,"Interleukin-1 receptor antagonist",Treatment of rheumatoid arthritis,"Injection site reactions, increased risk of infections",Do not use in patients with active infections.
512512515A,Apixaban,"Factor Xa inhibitor",Prevention and treatment of blood clots,"Bleeding",Discontinue before surgery.
12512515AY,Apremilast,"Phosphodiesterase 4 inhibitor",Treatment of psoriatic arthritis and psoriasis,"Diarrhea, nausea, headache",Monitor for weight loss and depression.
2512515AY,Aprepitant,"Neurokinin-1 receptor antagonist",Prevention of chemotherapy-induced nausea and vomiting,"Fatigue, hiccups, constipation",Interacts with many drugs.
12515AYM,Aripiprazole,"Atypical antipsychotic",Treatment of schizophrenia, bipolar disorder, and depression,"Akathisia, insomnia, headache",Increased mortality in elderly patients with dementia-related psychosis.
2515AYM,Armodafinil,"Wakefulness-promoting agent",Treatment of narcolepsy, sleep apnea, and shift work sleep disorder,"Headache, nausea, insomnia","Serious rash, psychiatric symptoms"
515AYM,Arsenic trioxide,"Antineoplastic agent",Treatment of acute promyelocytic leukemia,"QT prolongation, differentiation syndrome, neurotoxicity",Monitor ECG and electrolytes.
15AYM,Artemether/lumefantrine,"Antimalarial",Treatment of malaria,"Headache, dizziness, loss of appetite",Take with food to increase absorption.
AYM,Asenapine,"Atypical antipsychotic",Treatment of schizophrenia and bipolar I disorder,"Somnolence, akathisia, oral hypoesthesia","Increased mortality in elderly patients with dementia-related psychosis, neuroleptic malignant syndrome"
YM,Aspirin,"NSAID and antiplatelet",Pain relief, fever reduction, and prevention of blood clots,"GI bleeding, tinnitus",Avoid in children with viral infections due to risk of Reye's syndrome.
M,Atazanavir,"Protease inhibitor",Treatment of HIV infection,"Hyperbilirubinemia, rash, nausea",Requires acidic environment for absorption.
A,Atorvastatin,"HMG-CoA reductase inhibitor (statin)",Lowers high cholesterol levels,"Myopathy, liver enzyme elevations",Monitor liver enzymes and for muscle pain.
T,Axitinib,"Kinase inhibitor",Treatment of advanced renal cell carcinoma,"Hypertension, diarrhea, fatigue",Monitor blood pressure.
C,Azacitidine,"Nucleoside metabolic inhibitor",Treatment of myelodysplastic syndromes,"Nausea, vomiting, anemia",Monitor blood counts.
G,Azathioprine,"Immunosuppressant",Prevention of organ transplant rejection and treatment of rheumatoid arthritis,"Bone marrow suppression, increased risk of infections and cancer",Monitor blood counts.
Y,Azithromycin,"Macrolide antibiotic",Treatment of bacterial infections,"Diarrhea, nausea, abdominal pain",Can cause QT prolongation.
B,Aztrenam,"Monobactam antibiotic",Treatment of gram-negative bacterial infections,"Rash, diarrhea, nausea",Allergy to beta-lactam antibiotics.
D,Baclofen,"Muscle relaxant",Treatment of muscle spasticity,"Drowsiness, dizziness, weakness",Avoid abrupt withdrawal.
Z,Basiliximab,"Interleukin-2 receptor antagonist",Prevention of acute organ rejection in kidney transplantation,"Increased risk of infection, hypertension, edema",Administer as part of an immunosuppressive regimen.
F,Bedaquiline,"Diarylquinoline antimycobacterial",Treatment of multidrug-resistant tuberculosis,"QT prolongation, hepatotoxicity, increased mortality",Monitor ECG and liver enzymes.
H,Belatacept,"Selective T-cell costimulation blocker",Prevention of organ rejection in kidney transplant recipients,"Anemia, urinary tract infection, headache",Increased risk of post-transplant lymphoproliferative disorder.
J,Belimumab,"B-lymphocyte stimulator (BLyS)-specific inhibitor",Treatment of systemic lupus erythematosus,"Nausea, diarrhea, infusion reactions",Do not administer live vaccines during treatment.
K,Bendamustine,"Alkylating agent",Treatment of chronic lymphocytic leukemia and indolent B-cell non-Hodgkin lymphoma,"Nausea, fatigue, bone marrow suppression",Monitor blood counts.
L,Benzonatate,"Antitussive",Symptomatic relief of cough,"Drowsiness, dizziness, numbness of the throat",Do not chew or suck the capsules.
M,Betamethasone,"Corticosteroid",Relief of inflammatory and pruritic manifestations of various skin conditions,"Burning, itching, skin atrophy",Topical use only.
N,Bevacizumab,"VEGF inhibitor",Treatment of various cancers,"Hypertension, proteinuria, bleeding",Risk of gastrointestinal perforation and wound healing complications.
P,Bicalutamide,"Androgen receptor inhibitor",Treatment of prostate cancer,"Hot flashes, breast pain, gynecomastia",Monitor liver function.
Q,Bismuth subsalicylate,"Antidiarrheal",Treatment of diarrhea, heartburn, and upset stomach,"Black tongue, dark stools",Contains salicylate; use caution in patients taking aspirin.
R,Bleomycin,"Antitumor antibiotic",Treatment of various cancers,"Pulmonary fibrosis, skin toxicity",Monitor pulmonary function.
S,Bortezomib,"Proteasome inhibitor",Treatment of multiple myeloma and mantle cell lymphoma,"Peripheral neuropathy, thrombocytopenia, fatigue",Monitor for neuropathy and blood counts.
U,Bosentan,"Endothelin receptor antagonist",Treatment of pulmonary arterial hypertension,"Hepatotoxicity, anemia, fluid retention","Pregnancy, co-administration with cyclosporine A or glyburide"
V,Bosutinib,"Kinase inhibitor",Treatment of chronic myeloid leukemia,"Diarrhea, nausea, rash",Monitor liver function and for fluid retention.
W,Brentuximab vedotin,"Antibody-drug conjugate",Treatment of Hodgkin lymphoma and anaplastic large cell lymphoma,"Peripheral neuropathy, neutropenia, fatigue",Monitor for neuropathy and blood counts.
X,Brigatinib,"Kinase inhibitor",Treatment of anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer,"Hypertension, visual disturbances, increased CPK",Monitor blood pressure and vision.
Z,Brimonidine,"Alpha-adrenergic agonist",Reduction of intraocular pressure in glaucoma,"Allergic conjunctivitis, eye pruritus, oral dryness",Use caution in patients with cardiovascular disease.
A1,Budesonide,"Corticosteroid",Treatment of asthma and inflammatory bowel disease,"Respiratory infection, headache, oral candidiasis (inhaled)",Rinse mouth after using inhaled form.
B1,Buprenorphine,"Opioid partial agonist",Treatment of opioid dependence and pain,"Respiratory depression, sedation, dependence",Risk of misuse and addiction.
C1,Bupropion,"Antidepressant",Treatment of depression and for smoking cessation,"Insomnia, dry mouth, agitation","Seizure disorder, history of anorexia/bulimia"
D1,Busulfan,"Alkylating agent",Used in preparation for hematopoietic stem cell transplantation,"Myelosuppression, pulmonary fibrosis, nausea",Monitor blood counts and pulmonary function.
E1,Cabazitaxel,"Taxane",Treatment of metastatic castration-resistant prostate cancer,"Neutropenia, diarrhea, fatigue",Premedicate with corticosteroids and antihistamines.
F1,Cabozantinib,"Kinase inhibitor",Treatment of renal cell carcinoma and hepatocellular carcinoma,"Hypertension, diarrhea, fatigue",Risk of hemorrhage and gastrointestinal perforations.
G1,Calcipotriene,"Vitamin D analog",Treatment of psoriasis,"Skin irritation, burning, itching",Do not apply to the face.
H1,Canagliflozin,"SGLT2 inhibitor",Improves glycemic control in type 2 diabetes,"Genital mycotic infections, urinary tract infections, increased urination",Risk of lower limb amputation.
I1,Candesartan,"Angiotensin II receptor blocker (ARB)",Treatment of hypertension and heart failure,"Hypotension, hyperkalemia, dizziness",Avoid in pregnancy.
J1,Capecitabine,"Fluoropyrimidine",Treatment of various cancers, including breast and colorectal cancer,"Hand-foot syndrome, diarrhea, nausea",Monitor for diarrhea and hand-foot syndrome.
K1,Captopril,"ACE inhibitor",Treatment of hypertension and heart failure,"Cough, hypotension, hyperkalemia",Can cause angioedema.
L1,Carbamazepine,"Anticonvulsant",Treatment of epilepsy, trigeminal neuralgia, and bipolar disorder,"Dizziness, drowsiness, ataxia","Serious dermatologic reactions (especially in patients with HLA-B*1502 allele), aplastic anemia"
M1,Carbidopa,"Decarboxylase inhibitor",Used with levodopa for the treatment of Parkinson's disease,"Nausea, dizziness",N/A
N1,Carboplatin,"Platinum-based chemotherapy",Treatment of various cancers, especially ovarian cancer,"Myelosuppression, nausea, nephrotoxicity",Dose is calculated based on renal function.
O1,Carfilzomib,"Proteasome inhibitor",Treatment of multiple myeloma,"Fatigue, nausea, thrombocytopenia",Risk of cardiac toxicity and pulmonary hypertension.
P1,Carvedilol,"Beta-blocker",Treatment of heart failure and hypertension,"Dizziness, fatigue, hypotension",Take with food.
Q1,Cefaclor,"Cephalosporin antibiotic",Treatment of bacterial infections,"Diarrhea, rash, nausea",Allergy to cephalosporins or penicillins.
R1,Cefdinir,"Cephalosporin antibiotic",Treatment of bacterial infections,"Diarrhea, rash",May cause reddish stools.
S1,Cefepime,"Cephalosporin antibiotic",Treatment of moderate to severe bacterial infections,"Rash, diarrhea, positive Coombs' test",Risk of neurotoxicity in patients with renal impairment.
T1,Cefixime,"Cephalosporin antibiotic",Treatment of bacterial infections,"Diarrhea, nausea, abdominal pain",Allergy to cephalosporins or penicillins.
U1,Cefotaxime,"Cephalosporin antibiotic",Treatment of various bacterial infections,"Injection site inflammation, rash, diarrhea",Allergy to cephalosporins or penicillins.
V1,Ceftazidime,"Cephalosporin antibiotic",Treatment of bacterial infections, particularly Pseudomonas aeruginosa,"Injection site reactions, rash, diarrhea",Allergy to cephalosporins or penicillins.
W1,Ceftriaxone,"Cephalosporin antibiotic",Treatment of a wide range of bacterial infections,"Injection site pain, rash, diarrhea","Hyperbilirubinemic neonates, concurrent use with calcium-containing IV solutions"
X1,Celecoxib,"NSAID (COX-2 inhibitor)",Relief of pain and inflammation,"Abdominal pain, dyspepsia, increased risk of cardiovascular events","Aspirin-sensitive asthma, history of cardiovascular disease"
Y1,Cephalexin,"Cephalosporin antibiotic",Treatment of bacterial infections,"Diarrhea, nausea, rash",Allergy to cephalosporins or penicillins.
Z1,Ceritinib,"Kinase inhibitor",Treatment of ALK-positive metastatic non-small cell lung cancer,"Hepatotoxicity, hyperglycemia, diarrhea",Monitor liver function and blood glucose.
A2,Certolizumab pegol,"TNF blocker",Treatment of Crohn's disease, rheumatoid arthritis, and other inflammatory conditions,"Increased risk of infections, injection site reactions",Do not use in patients with active infections.
B2,Cetirizine,"Antihistamine",Relief of allergy symptoms,"Drowsiness, fatigue, dry mouth",Use with caution when driving or operating machinery.
C2,Chlorambucil,"Alkylating agent",Treatment of chronic lymphocytic leukemia and some lymphomas,"Bone marrow suppression, nausea",Monitor blood counts.
D2,Chlordiazepoxide,"Benzodiazepine",Management of anxiety and alcohol withdrawal,"Drowsiness, dizziness, confusion",Risk of dependence.
E2,Chloroquine,"Antimalarial and antirheumatic",Treatment and prevention of malaria; treatment of amebiasis,"Nausea, headache, visual disturbances",Use with caution in patients with psoriasis or porphyria.
F2,Chlorpromazine,"Typical antipsychotic",Treatment of schizophrenia and other psychotic disorders,"Sedation, orthostatic hypotension, tardive dyskinesia",Neuroleptic malignant syndrome.
G2,Chlorthalidone,"Thiazide-like diuretic",Treatment of hypertension and edema,"Hypokalemia, dizziness, hyperglycemia",Monitor electrolytes.
H2,Ciclesonide,"Corticosteroid",Maintenance treatment of asthma,"Headache, nasopharyngitis, oral candidiasis (inhaled)",Not for acute bronchospasm.
I2,Cilostazol,"Phosphodiesterase-3 inhibitor",Reduction of symptoms of intermittent claudication,"Headache, palpitations, diarrhea","Use is contraindicated in patients with heart failure of any severity."
J2,Cimetidine,"H2 receptor antagonist",Treatment of heartburn and ulcers,"Headache, dizziness, diarrhea",Can inhibit metabolism of other drugs.
K2,Ciprofloxacin,"Fluoroquinolone antibiotic",Treatment of bacterial infections,"Nausea, diarrhea, photosensitivity","Risk of tendinitis and tendon rupture, exacerbation of myasthenia gravis"
L2,Cisplatin,"Platinum-based chemotherapy",Treatment of various cancers,"Nephrotoxicity, ototoxicity, severe nausea and vomiting",Ensure adequate hydration.
M2,Citalopram,"SSRI antidepressant",Treatment of depression,"Nausea, drowsiness, insomnia",QT prolongation at doses > 40 mg/day.
N2,Cladribine,"Purine antimetabolite",Treatment of hairy cell leukemia and multiple sclerosis,"Myelosuppression, increased risk of infection, neurotoxicity",Monitor blood counts.
O2,Clarithromycin,"Macrolide antibiotic",Treatment of bacterial infections,"Diarrhea, nausea, abnormal taste",QT prolongation, interacts with many drugs.
P2,Clindamycin,"Lincosamide antibiotic",Treatment of serious bacterial infections,"Diarrhea, pseudomembranous colitis, rash",Risk of C. difficile-associated diarrhea.
Q2,Clobetasol,"Corticosteroid",Treatment of severe skin conditions,"Burning, itching, skin atrophy",Potent corticosteroid; use for short durations.
R2,Clomipramine,"Tricyclic antidepressant",Treatment of obsessive-compulsive disorder (OCD),"Drowsiness, dry mouth, constipation","Increased risk of suicidal thoughts, seizures"
S2,Clonazepam,"Benzodiazepine",Treatment of seizure disorders and panic disorder,"Drowsiness, ataxia, dependence",Avoid abrupt withdrawal.
T2,Clonidine,"Alpha-2 adrenergic agonist",Treatment of hypertension and ADHD,"Drowsiness, dry mouth, dizziness",Do not discontinue abruptly.
U2,Clopidogrel,"Antiplatelet agent",Prevention of blood clots,"Bleeding",Effectiveness can be reduced in poor metabolizers of CYP2C19.
V2,Clozapine,"Atypical antipsychotic",Treatment-resistant schizophrenia,"Agranulocytosis, seizures, myocarditis",Requires strict blood monitoring.
W2,Cobimetinib,"MEK inhibitor",Treatment of melanoma with a BRAF V600E or V600K mutation (in combination with vemurafenib),"Diarrhea, rash, nausea",Risk of cardiomyopathy and ocular toxicities.
X2,Codeine,"Opioid analgesic and antitussive",Relief of mild to moderate pain and cough,"Drowsiness, constipation, respiratory depression","Respiratory depression, ultrarapid metabolizers of CYP2D6"
Y2,Colchicine,"Antigout agent",Treatment and prevention of gout flares,"Diarrhea, nausea, vomiting",Narrow therapeutic index; toxicity can be severe.
Z2,Crizotinib,"Kinase inhibitor",Treatment of ALK-positive or ROS1-positive metastatic non-small cell lung cancer,"Vision disorders, hepatotoxicity, nausea",Monitor liver function and for visual changes.
A3,Cyclobenzaprine,"Muscle relaxant",Relief of muscle spasms,"Drowsiness, dry mouth, dizziness",Structurally related to tricyclic antidepressants.
B3,Cyclophosphamide,"Alkylating agent",Treatment of various cancers and autoimmune disorders,"Myelosuppression, hemorrhagic cystitis, nausea",Maintain adequate hydration.
C3,Cyclosporine,"Calcineurin inhibitor",Prevention of organ transplant rejection and treatment of autoimmune diseases,"Nephrotoxicity, hypertension, increased risk of infections",Requires therapeutic drug monitoring.
D3,Cyproheptadine,"Antihistamine and antiserotonergic agent",Relief of allergy symptoms and appetite stimulant,"Drowsiness, increased appetite, dry mouth",Use with caution in elderly.
E3,Dabigatran,"Direct thrombin inhibitor",Prevention and treatment of blood clots,"Bleeding, dyspepsia",No specific antidote for major bleeding initially.
F3,Dabrafenib,"Kinase inhibitor",Treatment of BRAF V600-mutated melanoma and non-small cell lung cancer,"Hyperkeratosis, headache, fever",Risk of new skin cancers.
G3,Dacarbazine,"Alkylating agent",Treatment of metastatic melanoma and Hodgkin lymphoma,"Severe nausea and vomiting, myelosuppression",Extravasation can cause severe tissue damage.
H3,Dapagliflozin,"SGLT2 inhibitor",Improves glycemic control in type 2 diabetes,"Genital mycotic infections, urinary tract infections",Risk of ketoacidosis.
I3,Daptomycin,"Lipopeptide antibiotic",Treatment of complicated skin and bloodstream infections,"Myopathy, eosinophilic pneumonia",Monitor CPK levels.
J3,Darunavir,"Protease inhibitor",Treatment of HIV infection (used with a booster like ritonavir or cobicistat),"Diarrhea, nausea, rash",Use with caution in patients with sulfa allergy.
K3,Dasatinib,"Kinase inhibitor",Treatment of chronic myeloid leukemia and acute lymphoblastic leukemia,"Myelosuppression, fluid retention, diarrhea",Risk of pulmonary arterial hypertension.
L3,Deferasirox,"Iron chelator",Treatment of chronic iron overload,"Nausea, abdominal pain, renal and hepatic toxicity",Monitor renal and liver function.
M3,Degarelix,"GnRH antagonist",Treatment of advanced prostate cancer,"Injection site reactions, hot flashes",N/A
N3,Denosumab,"RANK ligand inhibitor",Treatment of osteoporosis and prevention of skeletal-related events in cancer,"Musculoskeletal pain, increased risk of infections, osteonecrosis of the jaw",Hypocalcemia must be corrected before starting.
O3,Desipramine,"Tricyclic antidepressant",Treatment of depression,"Drowsiness, dry mouth, constipation",Increased risk of suicidal thoughts.
P3,Desloratadine,"Antihistamine",Relief of allergy symptoms,"Headache, fatigue, dry mouth",Non-sedating.
Q3,Desmopressin,"Synthetic analog of vasopressin",Treatment of diabetes insipidus and nocturnal enuresis,"Hyponatremia, headache, nausea",Risk of water intoxication and hyponatremia.
R3,Dexamethasone,"Corticosteroid",Treatment of inflammatory and autoimmune conditions,"Insomnia, mood changes, hyperglycemia",Many uses and side effects.
S3,Dexlansoprazole,"Proton pump inhibitor (PPI)",Treatment of GERD and erosive esophagitis,"Diarrhea, abdominal pain, nausea",Long-term use may increase risk of fractures and C. difficile infection.
T3,Dexmethylphenidate,"Stimulant",Treatment of ADHD,"Insomnia, decreased appetite, headache",Potential for abuse and dependence.
U3,Dextroamphetamine,"Stimulant",Treatment of ADHD and narcolepsy,"Insomnia, tachycardia, decreased appetite",High potential for abuse.
V3,Diazepam,"Benzodiazepine",Management of anxiety, seizures, and muscle spasms,"Drowsiness, ataxia, dependence",Avoid abrupt discontinuation.
W3,Diclofenac,"NSAID",Relief of pain and inflammation,"GI bleeding, increased risk of cardiovascular events",Topical and oral formulations available.
X3,Dicyclomine,"Anticholinergic",Treatment of irritable bowel syndrome (IBS),"Drowsiness, dry mouth, blurred vision",Use with caution in the elderly.
Y3,Digoxin,"Cardiac glycoside",Treatment of heart failure and atrial fibrillation,"Nausea, vomiting, visual disturbances",Narrow therapeutic index; monitor levels.
Z3,Dihydroergotamine,"Ergot alkaloid",Treatment of migraine headaches,"Nausea, dizziness, vasospasm",Contraindicated in patients with coronary artery disease or uncontrolled hypertension.
A4,Diltiazem,"Calcium channel blocker",Treatment of hypertension, angina, and certain arrhythmias,"Edema, headache, dizziness",Use with caution in patients with heart failure.
B4,Diphenhydramine,"Antihistamine",Relief of allergy symptoms, insomnia, and motion sickness,"Drowsiness, dry mouth, confusion",Significant sedative and anticholinergic effects.
C4,Disopyramide,"Antiarrhythmic",Treatment of ventricular arrhythmias,"Anticholinergic effects (dry mouth, urinary retention), hypotension",Can worsen heart failure.
D4,Divalproex,"Anticonvulsant",Treatment of seizures, bipolar disorder, and migraine prevention,"Hepatotoxicity, pancreatitis, thrombocytopenia","Pregnancy (neural tube defects), liver disease"
E4,Docetaxel,"Taxane",Treatment of various cancers, including breast, prostate, and lung cancer,"Neutropenia, fluid retention, neuropathy",Premedicate with corticosteroids.
F4,Dofetilide,"Antiarrhythmic",Maintenance of normal sinus rhythm in patients with atrial fibrillation,"QT prolongation, torsades de pointes",Requires inpatient initiation with ECG monitoring.
G4,Dolasetron,"5-HT3 receptor antagonist",Prevention of nausea and vomiting associated with chemotherapy,"Headache, ECG changes (QT prolongation)",IV formulation is no longer indicated for CINV due to cardiac risk.
H4,Dolutegravir,"Integrase inhibitor",Treatment of HIV-1 infection,"Insomnia, headache, dizziness",Can increase creatinine without affecting renal function.
I4,Donepezil,"Cholinesterase inhibitor",Treatment of Alzheimer's disease,"Nausea, diarrhea, insomnia",May cause bradycardia.
J4,Dopamine,"Adrenergic agonist",Treatment of shock and hypotension,"Tachycardia, arrhythmias, hypertension",Administered by IV infusion.
K4,Dornase alfa,"Mucolytic enzyme",Management of cystic fibrosis,"Pharyngitis, voice alteration, rash",Administered via nebulizer.
L4,Doxazosin,"Alpha-1 blocker",Treatment of hypertension and benign prostatic hyperplasia (BPH),"Dizziness, fatigue, orthostatic hypotension",Risk of first-dose syncope.
M4,Doxepin,"Tricyclic antidepressant/Antihistamine",Treatment of depression, anxiety, and insomnia,"Drowsiness, dry mouth, blurred vision",Varies by indication and formulation.
N4,Doxorubicin,"Anthracycline chemotherapy",Treatment of various cancers,"Cardiotoxicity, myelosuppression, nausea",Lifetime cumulative dose limitations.
O4,Doxycycline,"Tetracycline antibiotic",Treatment of bacterial and other infections,"Photosensitivity, nausea, GI upset",Do not take with dairy or antacids; avoid in children <8 and pregnancy.
P4,Dronabinol,"Cannabinoid",Treatment of nausea and vomiting from chemotherapy; appetite stimulant in AIDS,"Drowsiness, dizziness, euphoria",Potential for psychoactive effects.
Q4,Drospirenone,"Progestin",Used in oral contraceptives,"Increased risk of venous thromboembolism, hyperkalemia",Monitor potassium if used with other drugs that increase potassium.
R4,Dulaglutide,"GLP-1 receptor agonist",Improves glycemic control in type 2 diabetes,"Nausea, diarrhea, risk of thyroid C-cell tumors",Administered once weekly by subcutaneous injection.
S4,Duloxetine,"SNRI antidepressant",Treatment of depression, anxiety, and neuropathic pain,"Nausea, dry mouth, insomnia",Can increase blood pressure.
T4,Dutasteride,"5-alpha-reductase inhibitor",Treatment of benign prostatic hyperplasia (BPH),"Impotence, decreased libido, gynecomastia",Pregnant women should not handle capsules.
U4,Eculizumab,"Complement inhibitor",Treatment of paroxysmal nocturnal hemoglobinuria and atypical hemolytic uremic syndrome,"Increased risk of meningococcal infections, headache, nasopharyngitis",Vaccinate against Neisseria meningitidis before starting.
V4,Edoxaban,"Factor Xa inhibitor",Prevention and treatment of blood clots,"Bleeding",Do not use in patients with CrCl > 95 mL/min for nonvalvular atrial fibrillation.
W4,Efavirenz,"NNRTI",Treatment of HIV-1 infection,"Dizziness, rash, abnormal dreams",Can cause psychiatric symptoms and CNS effects.
X4,Efinaconazole,"Antifungal",Topical treatment of onychomycosis of the toenails,"Ingrown toenail, application site dermatitis, pain",Topical solution applied once daily.
Y4,Elbasvir/grazoprevir,"Direct-acting antiviral combination",Treatment of chronic hepatitis C virus (HCV) infection,"Fatigue, headache, nausea",Test for HBV infection before starting.
Z4,Eletriptan,"5-HT1 receptor agonist (triptan)",Acute treatment of migraine,"Dizziness, nausea, chest tightness",Contraindicated in ischemic heart disease.
A5,Eliglustat,"Glucosylceramide synthase inhibitor",Treatment of Gaucher disease type 1,"Arthralgia, headache, diarrhea",CYP2D6 and CYP3A4 substrate; requires genotyping for CYP2D6 status.
B5,Elotuzumab,"SLAMF7-directed immunostimulatory antibody",Treatment of multiple myeloma (in combination with other drugs),"Infusion reactions, increased risk of infections, fatigue",Premedicate to reduce infusion reactions.
C5,Eltrombopag,"Thrombopoietin receptor agonist",Treatment of thrombocytopenia,"Hepatotoxicity, thrombotic events, nausea",Monitor liver function.
D5,Elvitegravir,"Integrase inhibitor",Treatment of HIV-1 infection (available only in combination products),"Nausea, diarrhea, headache",Must be co-administered with a pharmacokinetic enhancer (cobicistat).
E5,Empagliflozin,"SGLT2 inhibitor",Improves glycemic control in type 2 diabetes; reduces risk of cardiovascular death,"Genital mycotic infections, urinary tract infections",Risk of ketoacidosis and Fournier's gangrene.
